player_name,season,PA,xwoba_mean,xwoba_savant,diff,xwoba_q05,xwoba_q95,sprint_speed,mean_ev,gb_rate
Santiago Espinal,2025,320,0.3043857575217023,0.254,0.05038575752170232,0.2747851402079686,0.3368437509052453,27.1,86.48122605363986,0.421455938697318
José Abreu,2024,120,0.2503618372112203,0.201,0.04936183721122028,0.22076777106616646,0.2788729596634706,25.3,87.81511627906976,0.5232558139534884
Vinny Capra,2025,101,0.25354489010332704,0.211,0.04254489010332704,0.2208836258453603,0.27899043316593264,28.3,85.15416666666665,0.5277777777777778
Luis Matos,2025,183,0.3158980180431425,0.274,0.04189801804314247,0.2856178844988835,0.3496138044383601,27.4,87.96275862068964,0.46206896551724136
Jose Herrera,2025,189,0.27858531321395946,0.237,0.041585313213959474,0.25117043226011215,0.31498438518139577,24.8,83.66779661016949,0.4067796610169492
Robinson Canó,2022,103,0.2765618662178082,0.235,0.04156186621780822,0.24649692329677564,0.31468427598621074,24.4,88.19054054054054,0.5405405405405406
Javier Sanoja,2025,326,0.3232848112463066,0.282,0.04128481124630662,0.2919841560060901,0.3531251242212905,28.0,88.43598484848484,0.4583333333333333
Miguel Rojas,2023,419,0.3263214803162189,0.286,0.040321480316218905,0.29485105759328617,0.357774376755398,26.4,87.31529411764706,0.45588235294117646
Jose Herrera,2022,118,0.22602318287473488,0.186,0.040023182874734886,0.20177804320592876,0.2530113106561919,25.3,84.67866666666667,0.64
Bryan Ramos,2024,108,0.3303911593728183,0.291,0.03939115937281834,0.2934905968244291,0.36476295218734,28.7,90.0628205128205,0.4358974358974359
Alejo Lopez,2022,142,0.323157038732104,0.284,0.03915703873210402,0.2897795863423339,0.35825861862427755,26.6,84.14298245614034,0.4649122807017544
Jon Berti,2025,106,0.318998077798986,0.28,0.03899807779898595,0.28902089286349575,0.3493585572630729,28.3,87.51428571428569,0.6103896103896104
Jonah Bride,2022,179,0.3236287337205055,0.285,0.038628733720505515,0.2951203038239612,0.35085590394036886,26.9,86.70787401574805,0.4645669291338583
Mickey Gasper,2025,109,0.2735360020365939,0.236,0.03753600203659391,0.2499360448176708,0.2981600373709968,26.8,87.78289473684212,0.42105263157894735
Edgar Quero,2025,398,0.3274630999725464,0.29,0.03746309997254643,0.2919399677354599,0.365912808640743,24.9,90.41958762886598,0.4948453608247423
Nick Loftin,2025,185,0.33121161616293565,0.294,0.03721161616293567,0.2971491248598574,0.3611015303090616,28.4,88.26524822695035,0.3900709219858156
TJ Friedl,2022,243,0.32013563670317674,0.283,0.037135636703176766,0.29176175072175975,0.3497567528099925,28.1,87.09213483146067,0.3146067415730337
Jose Trevino,2025,294,0.3147818273103406,0.278,0.036781827310340576,0.27824806096539106,0.3550423324285519,24.3,87.3599173553719,0.4669421487603306
Brett Harris,2024,122,0.31258944561088153,0.276,0.03658944561088151,0.29215756532904064,0.33602142907434795,27.2,87.43333333333332,0.4230769230769231
Andy Ibáñez,2025,189,0.34032825541722944,0.304,0.03632825541722945,0.3081720042150842,0.37473153323329317,27.5,88.95442176870748,0.3877551020408163
Aaron Judge,2025,641,0.42330492677181597,0.46,-0.03669507322818405,0.3843274751489231,0.46280040214951174,27.1,95.42196382428943,0.3333333333333333
Aaron Judge,2022,656,0.4304263516118379,0.468,-0.03757364838816213,0.39093126932744005,0.4722533423606899,27.3,95.97179487179488,0.36666666666666664
Mike Trout,2022,473,0.3603931371190568,0.398,-0.037606862880943226,0.31601508198026373,0.39709321953687055,29.3,91.65540069686412,0.24390243902439024
Aaron Judge,2024,682,0.43900302855403917,0.48,-0.04099697144596082,0.3995446080442991,0.4785224595118065,26.8,96.22268041237112,0.30927835051546393
Aaron Judge,2023,448,0.4240216716993093,0.466,-0.041978328300690704,0.382675344222558,0.4619884259370988,26.7,97.64728033472802,0.301255230125523
